evaluation,label
33大招加码稳增长，重要信号落地，A股正迎来前所未有,1.0
哈哈，等待花开时,1.0
为什么呢不尊重多数人的意见／仍,2.0
为什么呢不尊重多数人的意见／仍,2.0
想不明白啦：a股里还有比这票市,2.0
不要老想着分红了，今天的山煤国,2.0
三毛控[赞]每天两三毛钱能玩一天,2.0
老户股价己涨N倍，又看好末来不肯卖，所以想高分红，,2.0
负面情绪越来越严重，盘面看起来,2.0
服了你个老6,2.0
我们亏的是钱，有人折的是寿,2.0
北上资金在买天天跌,2.0
明天开始做T,1.0
全市场最拉几的票，最小气的主力！连个过节费都舍不得,2.0
海狗的走势,2.0
每一个在海控这里亏钱的，对海控不满的！可以去投诉中,2.0
压的太久，爆发越强。阳光，总在,1.0
让你给我添堵,2.0
扶稳站好，静侯升梯,1.0
昨天收盘后就说了，反对票起码有,2.0
找不到形容词骂这垃圾了，大家帮,2.0
这几天是占大盘的光，下周大盘回,1.0
中远海控真让人颠覆三观,2.0
垃圾股，吃垃圾长大的,2.0
我开始怀念你昨天暴涨2分的日子,1.0
这个大,1.0
累了。,2.0
感恩市场给的节日礼包，祝大家端午节安康！,1.0
衰股,2.0
不听人劝，亏死你们这些价值投资客去[傲],2.0
虾米互咬结束了没？,2.0
很难过只能卖这个垃圾股了，下跌,2.0
最烦织布机！载在张铭文手里了！,2.0
每天射一秒之后就全天了,2.0
晦气，买了你这个垃圾,2.0
坚守如山！[龙头股][庄家护盘][准备发射][一把梭][牛,1.0
海狗就是鸡肋，食之无味弃之可惜[好困惑],2.0
废股,2.0
万绿毛,2.0
下周出了，一年了～,2.0
有这样的董秘，亏钱了也舒服,1.0
成了大型织布机。,2.0
一分二分搞什么,2.0
暗潮涌动,2.0
所在板块都是红的就你绿的什么东,2.0
所在板块都是红的就你绿的什么东,2.0
散户的策略太简单了，只要有鸭蛋，肯定只卖不买…散户,2.0
中国国企净利王海控日成交量换手率还低过东方财富，股,2.0
为了再多收一点便宜货，继续买再大单打压，这是庄家的,2.0
跌不下来,1.0
中远海控毁了几百万个家庭[捂脸],2.0
主要是不甘心的小散太多了，涨不,2.0
人气下来了,2.0
为保证自己的身心健康，请远离垃,2.0
和大盘走势刚好相反，大盘先绿后,2.0
要向下了，这次不想下那就是真的主升浪开始,2.0
看着烦心啊！心累,2.0
涨涨涨价了,1.0
主力辛苦了，每天出货挺累,2.0
散户太差劲了，没人买,2.0
4月7日，14时14分59秒，难忘的时,1.0
4月7日，14时14分59秒，难忘的时,1.0
一阴破三线，下周看到13,2.0
这就是所谓的大盘股,2.0
你个垃圾,2.0
苟海公司等天收,2.0
净利1000多亿，什么是中国公民投资回报的权益，问海控,2.0
市值超过千亿的股不要买，太垃圾,2.0
黄金k,1.0
这个倒霉催的海狗，谁买谁倒霉，,2.0
一群韭菜花越抱怨越不会涨的,2.0
不知国家政策，完全瞎搞,2.0
这种半死不活，浪费时间。,2.0
就是不涨，散户无果,2.0
中远海控面临向上突破！,1.0
放心吧，小散坚持下去，它不会涨,2.0
散户拉不起一支股，却可以搞垮一,2.0
猪力去买垃圾股，不然,2.0
谁都救不了海狗啊,2.0
在垃圾市场遇上了垃圾股,2.0
这票为什么要跌？,2.0
垃圾货。,2.0
船运重大利好！！重磅发布，明天,1.0
差不多再砸个黄金坑你懂的,1.0
航运港口板块已创新高。[捂脸][,1.0
不涨点，端午节怎么去消费,2.0
死叉,2.0
已经死叉了。,2.0
再见，以后有机会再把亏得钱赚回,2.0
15.5埋伏，能否起飞看天意了,1.0
我们可能买了一个假海运股票,2.0
两天的涨幅一天就跌没了[憨笑],2.0
垃圾股，海控，早就走了不输不赢。,2.0
这股票盘子太大，回购也没用，上不去，拉高就跑。,2.0
15.18已满仓梭哈,1.0
你是不是要退市了,2.0
韭菜们已经不错了，没有大跌，继,1.0
真垃圾，不像盈利200多亿，倒像亏损200多亿,2.0
好了，持仓105天，亏了十五万，我走了，你可以涨了；,2.0
这么多人在骂万种，不知道他晚上做不做恶梦,2.0
大盘涨你在跌，大盘跌你在跌，板块涨你在跌，板块跌你,2.0
对中远海控无法用言语形容，大A盈利的佼佼者，市值管,2.0
再也买不到这样投资投机两相宜的股了！纠结于分红，踏,1.0
中远海控暴跌模式开始了，这次调整13元以下将创出新低,2.0
港口运输有所下滑，大家不看新闻,2.0
该来的总归会来,1.0
下午必破15，,2.0
啊散户难啊万挂了,2.0
自选股倒数第一,2.0
机构对管理层的愤怒，连续几天砸盘,2.0
儿子海外，这是要疯了吗[捂脸],2.0
假装10日线企稳，再骗一堆散户进来,2.0
看着碍眼,2.0
刚买的这个股票，请问下，这个股票是垃圾股吗,2.0
要砸跌停啊？垃圾,2.0
股票反映的是预期，股价已经翻了,1.0
效益好，就是不涨，你们不是看好,2.0
扶不起的阿斗,2.0
反弹失败，估计要向下了,2.0
迟早有大雷爆出，大资金和机构都是先知先觉聪明的，这,2.0
好好的股票被万绿龟搞成了垃圾,2.0
恶心真TM的恶心,2.0
现在大盘正，若没有大庄的打压，中远海控不可能负，老,1.0
必破15,2.0
真恶心,2.0
希望帮到大家,1.0
知道什么是垃圾股,2.0
有一说一：中远海控，如何是从龙变成虫的。,2.0
，恶心,2.0
哈哈，全仓新能源发家致富[大笑][大笑][大笑],1.0
出去一个月差不多回本了，回来看看，哎，还是这个吊样,2.0
海控今天收盘能在15元以上，海控,1.0
唉！人都不想做了！[大哭],2.0
卖了均胜电子买了你，我真是绝了,2.0
小票跌你跟，小票涨你不跟，学习下茅台 随便同流合污,2.0
不要脸的海控,2.0
这股有什么大病没看懂,2.0
版块大涨你不跟，版块回调跟得死死的,2.0
真的非常非常想骂人,2.0
必须破15今天,2.0
太稳了,1.0
天天新高气死你们韭菜们,2.0
做一次领头羊 我就给你筹码了  还在装啊,2.0
海控持现金2362亿不为净利1000亿国企市值保值增值护航,2.0
老万：敢骂我？把前面增持的股卖出去！让股价再落体一,2.0
做空的筹码差不多了，主要是一些,1.0
这种垃圾票拿来干嘛？,2.0
一涨下杀不比现在洗盘快[为什么],2.0
中远海控价值2元的股票，现在15元，泡沫巨大可想而知,2.0
我天天盯盘就是来见证你是如何跌跌不休，你就是这样回,2.0
一直在我的成本线徘徊，等我卖了估计就涨了,2.0
越来越觉得这股票有诈,2.0
业绩好股价下跌，Ａ股特性,2.0
必须破15,2.0
隔岸观火,2.0
不过也好，让那些投机客滚蛋。,2.0
嘛的，涨的时候不跟，跌的时候，,2.0
不玩了内部搞搞清爽再来,2.0
“砸”就能拣到便宜，不一定！有行市也有比市。,2.0
最大的特点就是只下不上,2.0
这货逢高卖出永远没有错,1.0
全仓海控了！,1.0
废物,2.0
今天有望一块以内,2.0
海控不涨，主要是里面几个大散T狗，T来T去，大庄都不,2.0
衰股,2.0
垃圾股，板块涨你不涨，板块跌你,2.0
15不卖的真啥瓜,2.0
终究是扛不住压力。,2.0
哈哈哈，暴跌，今天,2.0
这货，太无语啦？？？～～～～,2.0
